x_pw,y_pw,z_pw,x_nw,y_nw,z_nw
-5354,836.161438,-55.63077927,1,0,0
-5362.333496,836.9997559,-170.5552521,0,0.974799514,-0.223082647
-5354,836.9997559,59.29368973,1,0,0
-5370.666504,841.2253418,-165.2615509,0,0.433781445,-0.901018083
-5354,839.5452271,-188.1903076,1,0,0
-5362.333496,837.6530151,-180.8173218,0,0.783367813,0.621558368
-5354,769,-66.66666412,1,0,0
-5354,697,66.66666412,1,0,0
-5354,765.2155151,66.66666412,1,0,0
-5370.666504,836.161438,-174.2181549,0,0.974799514,-0.223082647
-5354,842.9920044,-191.202774,1,0,0
-5362.333496,842.7224121,-187.05896,0,0.669169545,0.743109822
-5354,842.1445923,-195.2703857,1,0,0
-5370.666504,839.9827271,-183.7535858,0,0.783367813,0.621558368
-5354,843.8474121,-191.3948975,1,0,0
-5362.333496,843.6948242,-188.3273163,0,0.960979998,0.276617944
-5354,843.5545044,-194.6395264,1,0,0
-5370.666504,843.1323242,-187.4281006,0,0.669169545,0.743109822
-5362.333496,844,-194.4625092,0,1,0
-5370.666504,844,-191.9250031,0,1,0
-5370.666504,843.8474121,-188.8574066,0,0.960979998,0.276617944
-5362.333496,843.7070923,-197.7071075,0,0.923882365,-0.382676542
-5362.333496,842.4142456,-199.4142303,0,0.38267988,-0.923881054
-5370.666504,843.4142456,-198.4142303,0,0.923882365,-0.382676542
-5354,698.8922729,-192.6270294,1,0,0
-5362.333496,769,-200,0,0,-1
-5354,700.7844849,-66.66666412,1,0,0
-5370.666504,841.7070923,-199.7071075,0,0.38267988,-0.923881054
-5354,623.8554077,-195.2703857,1,0,0
-5362.333496,624.2929077,-199.7071075,0,-0.38267988,-0.923881054
-5354,626.4547729,-188.1903076,1,0,0
-5370.666504,697,-200,0,0,-1
-5354,622.2929077,-195.1696167,1,0,0
-5362.333496,622.5857544,-198.4142303,0,-0.923882365,-0.382676542
-5354,622.4454956,-192.102005,1,0,0
-5354,623.0079956,-191.2028046,1,0,0
-5370.666504,623.5857544,-199.4142303,0,-0.38267988,-0.923881054
-5362.333496,622,-191.9250031,0,-1,0
-5370.666504,622,-194.4625092,0,-1,0
-5370.666504,622.2929077,-197.7071075,0,-0.923882365,-0.382676542
-5362.333496,622.1525879,-188.8574066,0,-0.960979998,0.276617944
-5362.333496,622.8676758,-187.4280853,0,-0.669169545,0.743109822
-5370.666504,622.3051758,-188.3273163,0,-0.960979998,0.276617944
-5362.333496,626.0172729,-183.7535858,0,-0.783367813,0.621558368
-5370.666504,623.2775879,-187.05896,0,-0.669169545,0.743109822
-5354,629.0002441,-59.29368973,1,0,0
-5362.333496,629.838501,-174.2181549,0,-0.974799514,-0.223082647
-5354,629.838501,55.63077927,1,0,0
-5370.666504,628.3469849,-180.817337,0,-0.783367813,0.621558368
-5354,621.3873291,-55.63077927,1,0,0
-5362.333496,624.7746582,-165.2615509,0,-0.433781445,-0.901018083
-5354,624.7746582,54,1,0,0
-5370.666504,629.0002441,-170.5552521,0,-0.974799514,-0.223082647
-5354,611.2253418,-54,1,0,0
-5362.333496,614.6126709,-163.6307831,0,0.433781445,-0.901018083
-5354,614.6126709,55.63077927,1,0,0
-5370.666504,621.3873291,-163.6307831,0,-0.433781445,-0.901018083
-5354,606.161499,-55.63077927,1,0,0
-5362.333496,606.9997559,-170.5552521,0,0.974799514,-0.223082647
-5354,606.9997559,59.29368973,1,0,0
-5370.666504,611.2253418,-165.2615509,0,0.433781445,-0.901018083
-5354,609.5452271,-188.1903076,1,0,0
-5362.333496,607.6530151,-180.8173218,0,0.783367813,0.621558368
-5370.666504,606.161499,-174.2181549,0,0.974799514,-0.223082647
-5354,612.9920044,-191.202774,1,0,0
-5362.333496,612.7224121,-187.05896,0,0.669169545,0.743109822
-5354,612.1445923,-195.2703857,1,0,0
-5370.666504,609.9827271,-183.7535858,0,0.783367813,0.621558368
-5354,613.8474121,-191.3948975,1,0,0
